Model,Execution time,Local MAE,Local MSE,Global MAE,Global MSE,MCMC,Iterations,Burned,Chains,Thinning,BUGS,Noise,Explainability
"logit covariate, with covariate",321.140000000003,0.491895893355814,0.0505192201457194,0.209603426363848,0.0720448519480139,True,2000,30000,4,10,JAGS,0.762700976378098,0.113869438806894
"covariate, no covariate",526.670000000002,0.55643981679834,0.0587959690044257,0.340605225727485,0.116171722343926,True,2000,30000,4,10,JAGS,0.762700976378098,0.113869438806894
"covariate, with covariate",760.190000000002,0.54549100685461,0.0597804955412872,0.357375265786766,0.118490883726671,True,2000,30000,4,10,JAGS,0.762700976378098,0.113869438806894
"logit covariate, no covariate",234.73,0.516055333922856,0.0676987187437128,0.259097413521388,0.0966915878025932,True,2000,30000,4,10,JAGS,0.758555936822071,0.472343890788311
"logit covariate, with covariate",325.220000000001,0.501667686381258,0.0677122400074073,0.247853164771081,0.0932875115616659,True,2000,30000,4,10,JAGS,0.758555936822071,0.472343890788311
"covariate, no covariate",462.52,0.519821726964558,0.0639909746283216,0.255077481653727,0.101207011479776,True,2000,30000,4,10,JAGS,0.758555936822071,0.472343890788311
"covariate, with covariate",816.050000000003,0.513307040441969,0.0599191062391841,0.243383581599433,0.0876037992100941,True,2000,30000,4,10,JAGS,0.758555936822071,0.472343890788311
"logit covariate, no covariate",210.969999999998,0.288533578999608,0.02788437919512,0.142791542535196,0.048462484586512,True,2000,30000,4,10,JAGS,0.762091817242281,0.603639544221543
"logit covariate, with covariate",274.189999999999,0.297907082238778,0.0287493214958664,0.108859468186882,0.0365997447356807,True,2000,30000,4,10,JAGS,0.762091817242281,0.603639544221543
"covariate, no covariate",252,0.289003973307203,0.0302400268143342,0.124273650954955,0.0432217314215855,True,2000,30000,4,10,JAGS,0.762091817242281,0.603639544221543
"covariate, with covariate",503.950000000001,0.360359205141175,0.041138758419263,0.211792817137944,0.0765830005706299,True,2000,30000,4,10,JAGS,0.762091817242281,0.603639544221543
