"","Region bias [1, 1]","Region bias [2, 1]","Region bias [3, 1]","Region bias [4, 1]","Region bias [5, 1]","Region bias [1, 2]","Region bias [2, 2]","Region bias [3, 2]","Region bias [4, 2]","Region bias [5, 2]","Region bias [1, 3]","Region bias [2, 3]","Region bias [3, 3]","Region bias [4, 3]","Region bias [5, 3]","Region bias [1, 4]","Region bias [2, 4]","Region bias [3, 4]","Region bias [4, 4]","Region bias [5, 4]","Individual bias [1, 1]","Individual bias [2, 1]","Individual bias [3, 1]","Individual bias [4, 1]","Individual bias [5, 1]","Individual bias [1, 2]","Individual bias [2, 2]","Individual bias [3, 2]","Individual bias [4, 2]","Individual bias [5, 2]","Individual bias [1, 3]","Individual bias [2, 3]","Individual bias [3, 3]","Individual bias [4, 3]","Individual bias [5, 3]","Individual bias [1, 4]","Individual bias [2, 4]","Individual bias [3, 4]","Individual bias [4, 4]","Individual bias [5, 4]","Region deviation [1, 1]","Region deviation [2, 1]","Region deviation [3, 1]","Region deviation [4, 1]","Region deviation [5, 1]","Region deviation [1, 2]","Region deviation [2, 2]","Region deviation [3, 2]","Region deviation [4, 2]","Region deviation [5, 2]","Region deviation [1, 3]","Region deviation [2, 3]","Region deviation [3, 3]","Region deviation [4, 3]","Region deviation [5, 3]","Region deviation [1, 4]","Region deviation [2, 4]","Region deviation [3, 4]","Region deviation [4, 4]","Region deviation [5, 4]","Individual deviation [1, 1]","Individual deviation [2, 1]","Individual deviation [3, 1]","Individual deviation [4, 1]","Individual deviation [5, 1]","Individual deviation [1, 2]","Individual deviation [2, 2]","Individual deviation [3, 2]","Individual deviation [4, 2]","Individual deviation [5, 2]","Individual deviation [1, 3]","Individual deviation [2, 3]","Individual deviation [3, 3]","Individual deviation [4, 3]","Individual deviation [5, 3]","Individual deviation [1, 4]","Individual deviation [2, 4]","Individual deviation [3, 4]","Individual deviation [4, 4]","Individual deviation [5, 4]","Bounds size [1, 1]","Bounds size [2, 1]","Bounds size [3, 1]","Bounds size [4, 1]","Bounds size [5, 1]","Bounds size [1, 2]","Bounds size [2, 2]","Bounds size [3, 2]","Bounds size [4, 2]","Bounds size [5, 2]","Bounds size [1, 3]","Bounds size [2, 3]","Bounds size [3, 3]","Bounds size [4, 3]","Bounds size [5, 3]","Bounds size [1, 4]","Bounds size [2, 4]","Bounds size [3, 4]","Bounds size [4, 4]","Bounds size [5, 4]","True in bounds [1, 1]","True in bounds [2, 1]","True in bounds [3, 1]","True in bounds [4, 1]","True in bounds [5, 1]","True in bounds [1, 2]","True in bounds [2, 2]","True in bounds [3, 2]","True in bounds [4, 2]","True in bounds [5, 2]","True in bounds [1, 3]","True in bounds [2, 3]","True in bounds [3, 3]","True in bounds [4, 3]","True in bounds [5, 3]","True in bounds [1, 4]","True in bounds [2, 4]","True in bounds [3, 4]","True in bounds [4, 4]","True in bounds [5, 4]","Execution time","EI","EPW","EQ","Iterations","Burned","Chains","Thinning","BUGS"
"logit covariate, no covariate",-0.0269205353332383,-0.0116881808837683,-0.0218982708571359,0.0723268640399616,-0.0290357535940316,0.0676104054798551,-0.0241382188803704,-0.0161435332783863,-0.00978745315698673,-0.0729619419442084,0.0364582473540663,0.0179308775778994,0.0364670304647009,-0.0921859859121325,-0.0443670613733406,-0.127166038400225,-0.00649388673591657,-0.0145826348545568,0.0018972818698755,0.104817227409305,-0.0111639035802118,-0.00494757529411527,-0.0110202190981277,0.0171698209771024,-0.0107748858139656,0.0725445710865983,-0.00940943151330736,-0.00791713107846063,-0.00377068337699828,-0.0803707149379211,0.0444115331072348,-0.00886560319549496,0.0209619770062544,-0.0485068119824078,-0.083314134529434,-0.1541849383893,0.000331724486446254,-0.0126657012169174,0.00955187922292536,0.136489690088,0.256847649028603,0.0468395689846751,0.0381260358706202,0.21131147554348,0.134201360077405,0.0796792986086,0.071898245889586,0.0550901027207203,0.0435728509465352,0.175968758639639,0.0770734653386879,0.133067681130014,0.0806237888836555,0.172535079012222,0.183647775967179,0.153037784347418,0.0398818250586112,0.0287130895591047,0.0412393683448748,0.239340632486596,0.186946429527261,0.0219321584953679,0.0299178967509826,0.148344111568252,0.0874798125985055,0.039224298657252,0.0449988439990045,0.0170686025802143,0.0185637691958922,0.10864656805175,0.0338365420261957,0.0644790020437727,0.0357941629715406,0.12281521903389,0.109371898053491,0.143016317089548,0.0095638672344292,0.015076665538194,0.0220266139993858,0.135887220344828,0.496574381462942,0.10131932400239,0.0832784857905952,0.22740562088156,0.295651735489792,0.344218083282797,0.230010533910235,0.270918044773879,0.105557216460817,0.341656805395742,0.357528191425915,0.26741811896444,0.266240794767981,0.157018936138972,0.417323469664068,0.217719612597922,0.082483213953181,0.0536433320401898,0.119105480234119,0.436618730386617,0.48780487804878,0.195121951219512,0.48780487804878,0.341463414634146,0.463414634146341,0.426829268292683,0.682926829268293,0.98780487804878,0.231707317073171,0.573170731707317,0.353658536585366,0.670731707317073,0.878048780487805,0.25609756097561,0.646341463414634,0.231707317073171,0.146341463414634,0.439024390243902,0.280487804878049,0.609756097560976,234.919999999998,8.01133734229327,5.91292394335953,1.12853231753969,2000,30000,4,10,"JAGS"
"logit covariate, with covariate",-0.031887607810195,-0.0022919747599834,-0.0244924102957517,0.0713863419499735,-0.0379837413518604,0.0131853067811566,-0.0460136230465363,-0.00289673471616533,-0.00805232873434717,-0.0518018330939943,0.0462541857977303,0.0223587545006244,0.0220307864428704,-0.0926588011219838,-0.046020588281961,-0.0922036888548171,-0.00409961941667141,-0.0132673991418703,-0.00208570306409228,0.0687971257363289,-0.0264154530782477,0.000821099945446276,-0.0154222521195461,0.0221647947748216,-0.0155063521991928,0.0252215454923519,-0.031225351099818,-0.0017512784104338,-0.00271347006403839,-0.0454470349981147,0.0470012886245331,0.00367638632102727,0.0143457156029019,-0.0521323539133205,-0.0641583576035911,-0.106924126254547,9.82561205153895e-05,-0.00966627773973302,0.00479704533432098,0.0666006972818339,0.217559727269552,0.0445896668153315,0.037683798186359,0.191695873726025,0.142537312749902,0.0785120859111434,0.0728361982606143,0.0489403358206374,0.0432952155700427,0.149407550004745,0.091533020705459,0.123410766905911,0.0531257662368042,0.156641950652107,0.142729863132031,0.111824626976666,0.039714460686296,0.0274154824499634,0.041474372658624,0.194951904856993,0.121066089209923,0.0141027979913344,0.0287824435435155,0.129749283962078,0.0935475918030051,0.0225097234739211,0.0476029490881122,0.0234481842858283,0.0181317555295386,0.0827256949610966,0.0671183144532934,0.0477464031589888,0.0223617434097569,0.104611711864139,0.0573882454714449,0.0889342407277418,0.00612299192672898,0.0130675326224252,0.0235507419485435,0.0839471546095366,0.485408975519191,0.127810427082106,0.0842563304213688,0.226576303036042,0.346742567555742,0.273535361112187,0.219744326654216,0.28484209620104,0.124957543084595,0.412515220777451,0.364554480744506,0.281631272002529,0.291267895944658,0.147831215473636,0.495614249943876,0.253211917875425,0.0865505155089999,0.0599152618606536,0.110933048949725,0.473085647158718,0.597560975609756,0.219512195121951,0.48780487804878,0.378048780487805,0.548780487804878,0.390243902439024,0.719512195121951,0.98780487804878,0.24390243902439,0.682926829268293,0.353658536585366,0.707317073170732,0.951219512195122,0.292682926829268,0.731707317073171,0.548780487804878,0.146341463414634,0.463414634146341,0.280487804878049,0.817073170731707,213.070000000007,6.36284456979408,4.62069366227009,0.904338292001706,2000,30000,4,10,"JAGS"
"covariate, no covariate",0.0198707520028326,-0.0183909682434841,-0.0139270231171019,0.0838724624728297,-0.100780008398761,-0.0432723780481764,-0.000619568421608479,-0.0253306162213691,0.0348269352029335,-0.150677810971055,0.100189566534823,-0.0479569457599114,0.0528923311173883,-0.117448328951658,0.106473915668043,-0.124207645322449,0.0483767963162149,-0.0159998128896609,-0.00913864226722911,0.026721553966436,0.0339350610102612,-0.0109446474458274,-0.0080598641623884,0.0301792044285425,-0.0697421102521257,-0.0351100410066688,0.0247838721203474,-0.0194701150757969,0.0409313720949637,-0.134175020305873,0.107185532515802,-0.086660159255891,0.0402619302409037,-0.0730662420112267,0.0447815383769757,-0.152099882335792,0.0547189680443615,-0.0149334508146558,-0.00660349796549543,0.0795339029073651,0.254482548881098,0.0471245144992906,0.0382689155179154,0.21374895596553,0.135398553859381,0.080198613397231,0.0692163604403767,0.0758067718750175,0.0432847122045967,0.184475764564454,0.0758996477310299,0.128084434538229,0.113394674536287,0.171964182815368,0.164009684043201,0.152064557708636,0.0396489405232665,0.0297043718235423,0.0420104274342784,0.222118007793639,0.177399149071691,0.0233048857639707,0.0299548634612946,0.151142136952855,0.0970585619124335,0.0404093371957105,0.0405930712051433,0.0475586345928084,0.0182168442991527,0.172834281541998,0.033824526176046,0.057682912633651,0.0723074266476588,0.123570998935468,0.115705847278216,0.140851917769397,0.0128784078141611,0.0176689704336567,0.0177616304818326,0.159773886675466,0.440473858910018,0.0559644238002477,0.0321311691925323,0.162384748665317,0.385225188356711,0.188676544315246,0.245994297397204,0.100656327790038,0.156067020688583,0.473045985279705,0.361996212213206,0.326134883310346,0.0933441353497211,0.0230161484530798,0.747925925805624,0.248646887518901,0.189288335755071,0.00656802489973526,0.0736190928201396,0.78004496729071,0.463414634146341,0.121951219512195,0.268292682926829,0.24390243902439,0.536585365853659,0.317073170731707,0.707317073170732,0.585365853658537,0.24390243902439,0.609756097560976,0.353658536585366,0.597560975609756,0.402439024390244,0.0365853658536585,0.75609756097561,0.329268292682927,0.121951219512195,0.0731707317073171,0.268292682926829,0.841463414634146,452.300000000003,10.8497996300594,7.8403654757606,1.60640284688828,2000,30000,4,10,"JAGS"
"covariate, income",0.0678740611082423,-0.01752701524987,-0.017748606047154,0.0721402606512921,-0.0919142821243533,0.0595291572335609,-0.0667142245102837,0.0258483849450443,-0.00842118546589719,-0.151680339514132,-0.0110306532910466,0.0920941515530169,-0.0122476367703047,-0.0755793826380833,0.0434955304011211,-0.137326772243213,-0.00890259474431316,-0.00141709236869156,0.00174515427249522,0.117350307979084,0.0517473708668294,-0.0106515351565139,-0.0133081900550284,0.0320440306421356,-0.0678916869493265,0.07523352145983,-0.0530797786849292,0.0231725478002741,-0.00291064152911004,-0.150124168281517,0.00400907422639641,0.0654237064116551,-0.0126188308902175,-0.04120957701815,-0.00122687751458374,-0.156286508232764,-0.00271656457280952,-0.00223173648459614,0.00287608449902646,0.154542701843252,0.238202963542702,0.0474248634517082,0.0324715539521016,0.158403606087567,0.142522184943709,0.169340710235182,0.0703601521122437,0.0558322434989759,0.042069088401676,0.160771395618836,0.0801272755156276,0.134677287602729,0.0596934002489817,0.120948384682029,0.158503017325426,0.123966206537,0.0401450398797269,0.0243023520633107,0.0402197975021972,0.198737120410996,0.0882818745133804,0.0232658617581794,0.024306009561599,0.0970431459368345,0.0955794036731229,0.120556903225384,0.0447286959738442,0.0318359073736497,0.0160001805357912,0.0941975573586422,0.0322070993724686,0.0681200307220144,0.032423447436489,0.0792871709922768,0.13450067973,0.107509763305692,0.0106588931520252,0.0169128977149024,0.0137132022999122,0.13160110869578,0.184087602383737,0.00803445143739603,0.0381518084952236,0.0991105645170999,0.26445159259594,0.068638249974268,0.0303837168455864,0.105057552855032,0.0360041200279266,0.357249268364386,0.113809949234219,0.0458445645527055,0.112440468954968,0.0692015678635737,0.575858673269906,0.0981331054583457,0.0165028183803382,0.0284447634220946,0.0643464443229673,0.563129451637995,0.439024390243902,0,0.378048780487805,0.268292682926829,0.414634146341463,0.329268292682927,0.134146341463415,0.707317073170732,0.207317073170732,0.646341463414634,0.25609756097561,0.158536585365854,0.719512195121951,0.134146341463415,0.75609756097561,0.158536585365854,0.109756097560976,0.353658536585366,0.280487804878049,0.670731707317073,699.779999999999,7.73848584394469,5.58305822658295,1.10169593340597,2000,30000,4,10,"JAGS"
