,,,------------REGISTERED VOTERS------------,,,,-------------DEMOCRATS--------------,,,,---------------REPUBLICANS---------------,,,,---------------OTHER PARTIES--------------,,,
,,,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
,STATE,,,,,,,,,,,,,,,,,
,PAR 17,,299658,149778,132079,17801,140728,32986,102265,5477,83281,76988,2693,3600,75649,39804,27121,8724
,# VOTING,,210240,113647,85637,10956,99151,24680,70968,3503,66507,62398,1501,2608,44582,26569,13168,4845
,% VOTING,,70.16,75.88,64.84,61.55,70.46,74.82,69.40,63.96,79.86,81.05,55.74,72.44,58.93,66.75,48.55,55.54
,PAR 18,,5115,1454,3613,48,3383,410,2952,21,814,720,86,8,918,324,575,19
,# VOTING,,3139,1115,1998,26,2046,300,1730,16,670,623,41,6,423,192,227,4
,% VOTING,,61.37,76.69,55.30,54.17,60.48,73.17,58.60,76.19,82.31,86.53,47.67,75.00,46.08,59.26,39.48,21.05
,PAR 19,,14322,8306,5501,515,6530,1757,4481,292,4615,4378,144,93,3177,2171,876,130
,# VOTING,,10629,6509,3784,336,4733,1279,3263,191,3876,3733,76,67,2020,1497,445,78
,% VOTING,,74.21,78.37,68.79,65.24,72.48,72.79,72.82,65.41,83.99,85.27,52.78,72.04,63.58,68.95,50.80,60.00
,PAR 20,,22062,15513,6185,364,10411,5443,4869,99,7096,6840,150,106,4555,3230,1166,159
,# VOTING,,15638,11566,3841,231,7158,3833,3268,57,5912,5748,79,85,2568,1985,494,89
,% VOTING,,70.88,74.56,62.10,63.46,68.75,70.42,67.12,57.58,83.31,84.04,52.67,80.19,56.38,61.46,42.37,55.97
,PAR 21,,13966,9535,4309,122,5567,2248,3301,18,5545,5378,117,50,2854,1909,891,54
,# VOTING,,9792,7242,2490,60,3620,1560,2053,7,4592,4495,62,35,1580,1187,375,18
,% VOTING,,70.11,75.95,57.79,49.18,65.03,69.40,62.19,38.89,82.81,83.58,52.99,70.00,55.36,62.18,42.09,33.33
,PAR 22,,13321,11731,1243,347,3526,2501,958,67,6112,5911,76,125,3683,3319,209,155
,# VOTING,,9463,8568,692,203,2288,1672,587,29,4962,4851,26,85,2213,2045,79,89
,% VOTING,,71.04,73.04,55.67,58.50,64.89,66.85,61.27,43.28,81.18,82.07,34.21,68.00,60.09,61.61,37.80,57.42
